img_id,p_key,pred_class,pred_lat,pred_lng
1000269685_e60e9cdfb4_1125_78841376@N00,coarse,192,32.730506896972656,-117.21452331542969
1000304467_1a75a200b1_1296_78841376@N00,coarse,192,32.730506896972656,-117.21452331542969
1001048550_8e4b47d165_1051_78841376@N00,coarse,317,-33.85980987548828,151.21505737304688
1005977048_5ccf8b05d3_1201_91728102@N00,coarse,617,34.78553771972656,128.9154052734375
1008804117_ce4e6fef8a_1349_97522422@N00,coarse,473,40.74102783203125,-119.24378967285156
1008845063_ace4ef829f_1204_97522422@N00,coarse,775,40.41817092895508,-3.7062253952026367
101220879_0a1be45b79_33_24311489@N00,coarse,373,43.2938346862793,141.92593383789062
1014898753_ef4cfaa5d6_1354_96928198@N00,coarse,963,61.333621978759766,-149.92137145996094
1019846234_5e471a10e2_1155_97522422@N00,coarse,823,-24.345314025878906,131.7159423828125
1021054395_ca7cfe55b3_1061_7132415@N03,coarse,1660,-0.5801510810852051,-90.68212127685547
1023756068_20c3ffc329_1039_70323761@N00,coarse,661,42.35808181762695,-71.05664825439453
1029739337_ff06001d12_1361_7132415@N03,coarse,1660,-0.5801510810852051,-90.68212127685547
103385471_f54982a801_29_73293249@N00,coarse,760,56.49309539794922,-5.089572429656982
1000269685_e60e9cdfb4_1125_78841376@N00,middle,3350,32.76008987426758,-117.23905944824219
1000304467_1a75a200b1_1296_78841376@N00,middle,3970,32.3089485168457,-64.77471923828125
1001048550_8e4b47d165_1051_78841376@N00,middle,2827,-33.864349365234375,151.21432495117188
1005977048_5ccf8b05d3_1201_91728102@N00,middle,105,35.323265075683594,139.57327270507812
1008804117_ce4e6fef8a_1349_97522422@N00,middle,514,40.778099060058594,-119.20854949951172
1008845063_ace4ef829f_1204_97522422@N00,middle,881,40.416900634765625,-3.703780174255371
101220879_0a1be45b79_33_24311489@N00,middle,3104,43.173667907714844,142.91676330566406
1014898753_ef4cfaa5d6_1354_96928198@N00,middle,6279,60.06544876098633,-150.2634735107422
1019846234_5e471a10e2_1155_97522422@N00,middle,952,-24.345314025878906,131.7159423828125
1021054395_ca7cfe55b3_1061_7132415@N03,middle,2355,-0.5801510810852051,-90.68212127685547
1023756068_20c3ffc329_1039_70323761@N00,middle,1434,42.359580993652344,-71.05828094482422
1029739337_ff06001d12_1361_7132415@N03,middle,835,20.71542739868164,-105.3050765991211
103385471_f54982a801_29_73293249@N00,middle,5601,53.08340072631836,-4.059107780456543
1000269685_e60e9cdfb4_1125_78841376@N00,fine,6600,32.765960693359375,-117.22831726074219
1000304467_1a75a200b1_1296_78841376@N00,fine,5249,32.3089485168457,-64.77471923828125
1001048550_8e4b47d165_1051_78841376@N00,fine,4481,-33.863529205322266,151.2183074951172
1005977048_5ccf8b05d3_1201_91728102@N00,fine,326,35.31337356567383,139.53970336914062
1008804117_ce4e6fef8a_1349_97522422@N00,fine,527,40.76962661743164,-119.21795654296875
1008845063_ace4ef829f_1204_97522422@N00,fine,919,40.416934967041016,-3.703742742538452
101220879_0a1be45b79_33_24311489@N00,fine,401,43.04553985595703,140.9954833984375
1014898753_ef4cfaa5d6_1354_96928198@N00,fine,10407,60.18239974975586,-149.74163818359375
1019846234_5e471a10e2_1155_97522422@N00,fine,2580,-25.318801879882812,131.01751708984375
1021054395_ca7cfe55b3_1061_7132415@N03,fine,8412,-0.7200967669487,-90.31112670898438
1023756068_20c3ffc329_1039_70323761@N00,fine,2749,42.358428955078125,-71.05989074707031
1029739337_ff06001d12_1361_7132415@N03,fine,923,20.628902435302734,-105.24324798583984
103385471_f54982a801_29_73293249@N00,fine,1840,57.30445861816406,-6.160001277923584
1000269685_e60e9cdfb4_1125_78841376@N00,hierarchy,6600,32.765960693359375,-117.22831726074219
1000304467_1a75a200b1_1296_78841376@N00,hierarchy,5249,32.3089485168457,-64.77471923828125
1001048550_8e4b47d165_1051_78841376@N00,hierarchy,4481,-33.863529205322266,151.2183074951172
1005977048_5ccf8b05d3_1201_91728102@N00,hierarchy,326,35.31337356567383,139.53970336914062
1008804117_ce4e6fef8a_1349_97522422@N00,hierarchy,527,40.76962661743164,-119.21795654296875
1008845063_ace4ef829f_1204_97522422@N00,hierarchy,919,40.416934967041016,-3.703742742538452
101220879_0a1be45b79_33_24311489@N00,hierarchy,3779,43.8365592956543,144.74307250976562
1014898753_ef4cfaa5d6_1354_96928198@N00,hierarchy,10407,60.18239974975586,-149.74163818359375
1019846234_5e471a10e2_1155_97522422@N00,hierarchy,2580,-25.318801879882812,131.01751708984375
1021054395_ca7cfe55b3_1061_7132415@N03,hierarchy,8412,-0.7200967669487,-90.31112670898438
1023756068_20c3ffc329_1039_70323761@N00,hierarchy,2749,42.358428955078125,-71.05989074707031
1029739337_ff06001d12_1361_7132415@N03,hierarchy,923,20.628902435302734,-105.24324798583984
103385471_f54982a801_29_73293249@N00,hierarchy,1840,57.30445861816406,-6.160001277923584
103398485_db45794d93_36_73293249@N00,coarse,348,24.017311096191406,121.28369140625
103404365_f852148f5b_34_73293249@N00,coarse,49,46.82590103149414,8.079483985900879
103433117_266c57c2e6_29_73293249@N00,coarse,2658,44.531742095947266,6.764326095581055
103433770_9b651cfd20_32_73293249@N00,coarse,809,46.52447509765625,11.813155174255371
103442236_09c8d53dbc_37_73293249@N00,coarse,14,51.50776672363281,-0.07717788219451904
103457638_224c119b11_30_73293249@N00,coarse,1013,-33.337852478027344,-69.40113830566406
